"No.","Time","Source","Destination","Protocol","Length","Info"
"1694","99.973960","10.192.157.113","10.192.157.147","DNS","465","Standard query response 0x0413 A mssdk.bytedance.com CNAME mssdk.bytedance.com.bytedns1.com CNAME mssdk.bytedance.com.w.cdngslb.com CNAME mssdk.bytedance.com.queniukw.com A 112.192.22.70 A 101.206.206.158 A 112.192.22.71 A 101.206.206.159 A 112.192.22.72 A 101.206.206.160 A 112.192.22.73 A 101.206.206.161 A 101.206.206.162 A 101.206.206.155 A 112.192.22.68 A 119.6.222.195 A 101.206.206.156 A 112.192.22.69 A 119.6.222.196 A 101.206.206.157"
"1696","99.975423","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","485","Standard query response 0x0413 A mssdk.bytedance.com CNAME mssdk.bytedance.com.bytedns1.com CNAME mssdk.bytedance.com.w.cdngslb.com CNAME mssdk.bytedance.com.queniukw.com A 112.192.22.73 A 101.206.206.158 A 101.206.206.162 A 101.206.206.161 A 101.206.206.156 A 101.206.206.159 A 101.206.206.157 A 101.206.206.155 A 119.6.222.195 A 119.6.222.194 A 101.206.206.160 A 112.192.22.71 A 112.192.22.74 A 112.192.22.68 A 112.192.22.67 A 112.192.22.70"
"1808","111.670819","10.192.157.147","10.192.157.113","DNS","90","Standard query 0x3bcc A self.events.data.microsoft.com"
"1809","111.671437","10.192.157.147","10.192.157.113","DNS","90","Standard query 0xd5d2 AAAA self.events.data.microsoft.com"
"1810","111.702499","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","110","Standard query 0x3bcc A self.events.data.microsoft.com"
"1811","111.718302","10.192.157.113","10.192.157.147","DNS","215","Standard query response 0x3bcc A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdaue00.australiaeast.cloudapp.azure.com A 40.79.173.40"
"1812","111.718302","10.192.157.113","10.192.157.147","DNS","199","Standard query response 0xd5d2 AAAA self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdaue00.australiaeast.cloudapp.azure.com"
"1813","111.718571","2408:846c:17c6:22:6010:f2a:ab34:719a","2408:846c:17c6:22::ef","DNS","110","Standard query 0xd5d2 AAAA self.events.data.microsoft.com"
"1815","111.723742","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","222","Standard query response 0xd5d2 AAAA self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdaue00.australiaeast.cloudapp.azure.com"
"1816","111.740455","2408:846c:17c6:22::ef","2408:846c:17c6:22:6010:f2a:ab34:719a","DNS","235","Standard query response 0x3bcc A self.events.data.microsoft.com CNAME self-events-data.trafficmanager.net CNAME onedscolprdaue00.australiaeast.cloudapp.azure.com A 40.79.173.40"
"1865","117.030384","10.192.157.147","10.192.157.113","DNS","73","Standard query 0xcb41 AAAA res.wx.qq.com"
"1866","117.030984","10.192.157.147","10.192.157.113","DNS","73","Standard query 0x501f A res.wx.qq.com"
"1867","117.032203","10.192.157.147","10.192.157.113","DNS","73","Standard query 0xf8ac HTTPS res.wx.qq.com"
"1870","117.063723","10.192.157.113","10.192.157.147","DNS","201","Standard query response 0xcb41 AAAA res.wx.qq.com CNAME reswx.tc.qq.com CNAME reswx.mid.tdnsv6.com CNAME res.wx.qq.com.sched.legopic1-dk.tdnsv6.com AAAA 2408:876c:1740:152:40::14"
"1871","117.063723","10.192.157.113","10.192.157.147","DNS","189","Standard query response 0x501f A res.wx.qq.com CNAME reswx.tc.qq.com CNAME reswx.mid.tdnsv6.com CNAME res.wx.qq.com.sched.legopic1-dk.tdnsv6.com A 180.129.181.105"
"1872","117.063723","10.192.157.113","10.192.157.147","DNS","173","Standard query response 0xf8ac HTTPS res.wx.qq.com CNAME reswx.tc.qq.com CNAME reswx.mid.tdnsv6.com CNAME res.wx.qq.com.sched.legopic1-dk.tdnsv6.com"
"1885","117.515832","10.192.157.147","10.192.157.113","DNS","83","Standard query 0xbc8c A www.msftconnecttest.com"
"1886","117.516040","10.192.157.147","10.192.157.113","DNS","83","Standard query 0x35db AAAA www.msftconnecttest.com"
"1887","117.523920","10.192.157.147","10.192.157.113","DNS","84","Standard query 0xbdcb A ipv6.msftconnecttest.com"
